title,company,location,contract_type,contract_time,description,category,url_,id,date
Data Analyst,Perk,Barcelona,,,"About Us Perk (formerly TravelPerk) is the intelligent platform for travel and spend management. Built to tackle the time-consuming, manual work that gets in the way of real work, our tools automate everything from travel bookings to expenses, invoice processing, and more. By eliminating this shadow work that wastes hours, erodes morale, and saps innovation, we’re on a mission to power real work, with real impact. We’re trusted by more than 10,000 companies worldwide, including Wise, On Running…",Unknown,https://www.adzuna.es/details/5655420542?utm_medium=api&utm_source=9361dc98,5655420542,2026-03-05T22:17:29Z
Data Analyst,Veepee,Barcelona,,,"Pioneer of online flash sales since 2001 and key player in European e-commerce, Veepee collaborates with over 7,000 brands to offer highly discounted products available for a limited time. Operating across various sectors, including fashion, home, wine, travel or beauty Veepee achieved a turnover of 3.3 billion euros incl. VAT in 2024 and employs 5,000 staff members across 10 countries. As a Data Analyst, you will join our Central Data Organization, which is directly in contact with the differe…",Unknown,https://www.adzuna.es/details/5590818342?utm_medium=api&utm_source=9361dc98,5590818342,2026-01-18T22:18:49Z
Data Analyst,Propelling Tech,Barcelona,,,"As a Data Analyst , you will be part of a highly skilled team working on one of our most exciting and challenging projects. You’ll engage with multiple customer stakeholders to gather business requirements and contribute to the development of a cutting-edge Data Lakehouse in a disruptive, cloud-based environment. Leveraging AI-powered tools, you will play a key role in optimizing data engineering pipelines and delivering impactful analytics solutions. At Propelling Tech, we thrive on innovation…",Unknown,https://www.adzuna.es/details/5584544401?utm_medium=api&utm_source=9361dc98,5584544401,2026-01-14T20:09:21Z
Data Analyst,PrimeIT,Barcelona,,,"Qué buscamos? A partir de 3 años de experiencia realizando funciones de analista de datos Capacidad analítica y manejo en modelos de datos Experiencia en SQL, Python y gestión de Big Data Experiencia en herramientas de visualización de datos: Tableau, PowerBI etc. Nivel alto de inglés ¡¡Y lo más importante de todo que realmente estés motivadx para un cambio ¿Qué ofrecemos? Podemos asegurarte que contamos con el mejor equipo de todo el sector. Desde el proceso de selección, tu incorporación y ha…",Unknown,https://www.adzuna.es/details/5304781614?utm_medium=api&utm_source=9361dc98,5304781614,2025-07-16T00:10:07Z
Data Analyst Jr,Solicitud de empleo para Data Analyst Jr en DDB Spain,Barcelona,,,"Perfil Si te apasionan los datos, quieres aprender en un entorno creativo y buscas dar tus primeros pasos en el mundo de la analítica aplicada al marketing y la automoción, este es tu sitio. En DDB Barcelona buscamos un/a Data Analyst Junior con ganas de aprender, crecer y desarrollarse en un entorno dinámico y creativo. Te incorporarás a una agencia de publicidad con un cliente líder del sector automoción, trabajando codo con codo con equipos de estrategia, marketing digital y tecnología, y pa…",Unknown,https://www.adzuna.es/details/5556867176?utm_medium=api&utm_source=9361dc98,5556867176,2025-12-26T20:51:02Z
Senior Data Analyst,Smadex SLU,Barcelona,,,"Smadex is a leading advertising technology company founded in Barcelona in 2011 and sold to American-based and stock-listed Entravision in 2018 (NYSE::EVC). We are a fully transparent platform built with top technology, countless programmatic management features and powerful machine learning algorithms to help advertisers grow their business at scale. We are currently considered one of the top mobile ad-tech companies in the world. We are looking for a Senior Data Analyst to work closely with t…",Unknown,https://www.adzuna.es/details/5511391610?utm_medium=api&utm_source=9361dc98,5511391610,2025-11-24T18:38:14Z
Senior Data Analyst,Zynga,Barcelona,,,"Level Up Your Career with Zynga! At Zynga, we bring people together through the power of play. As a global leader in interactive entertainment and a proud label of Take-Two Interactive, our games have been downloaded over 6 billion times—connecting players in 175 countries through fun, strategy, and a little friendly competition. From thrilling casino spins to epic strategy battles, mind-bending puzzles, and social word challenges, our diverse game portfolio has something for everyone. Fan-favo…",Unknown,https://www.adzuna.es/details/5655182942?utm_medium=api&utm_source=9361dc98,5655182942,2026-03-05T20:55:19Z
Product Data Analyst,SCRM,Barcelona,,,"Product Data Analyst – Job Description SCRM – LIDL Digital Hub About the role We are looking for a Product Data Analyst who will share our passion for excellence and continuous challenge. We are seeking a driven and detail-oriented Product Data Analyst to join our agile team. This key role will be centered around a specific product and will require an individual who is confident in making data-driven decisions autonomously, with the backing of a knowledgeable and collaborative team. This role w…","Trabajos en marketing, publicidad y relaciones públicas",https://www.adzuna.es/details/5527988113?utm_medium=api&utm_source=9361dc98,5527988113,2025-12-04T19:53:39Z
"Internship, Data Analyst","UL, LLC",Barcelona,,,"We are looking for a Data Analyst Intern to join our Market Intelligence team at UL Solutions. This role is an excellent opportunity for a motivated and analytical profile who wants to gain hands-on experience working with real business data, global stakeholders, and data-driven decision-making in a multinational environment. As part of the team, you will support the analysis of market performance and business KPIs, helping transform data into meaningful insights that drive strategic and operat…",Unknown,https://www.adzuna.es/details/5625658758?utm_medium=api&utm_source=9361dc98,5625658758,2026-02-12T05:02:31Z
Senior Data Analyst,Blacklane,Barcelona,,,"As a Senior Data Analyst at Blacklane, you will be at the forefront of our data-driven initiatives, transforming complex datasets into actionable insights that drive business decisions. Your role will involve developing dashboards, reports, and visualizations, collaborating with cross-functional teams to understand and meet their data needs, and conducting advanced statistical analyses. You will ensure data integrity and accuracy, communicate findings effectively, and contribute to the strategi…",Unknown,https://www.adzuna.es/details/5594649089?utm_medium=api&utm_source=9361dc98,5594649089,2026-01-21T21:43:16Z
