,id,titulo,empresa,ubicacion,salario,tipo_contrato,modalidad,url,descripcion
0,ef8da29b4067d8ce,FP&A Analyst,Freightos,"Trabajo híbrido in 08018 Barcelona, Barcelona provincia",,Jornada completa,,https://es.indeed.com/viewjob?jk=ef8da29b4067d8ce,"About Us
Almost every single thing that you eat, wear, or use (yes, even the screen you’re reading this on) is imported. Freight quite literally moves the world. And we’re helping it move even better.
Freightos (Nasdaq: CRGO) is the global booking and payment platform for the trillion-dollar freight industry. Hundreds of airlines and ocean liners, thousands of freight companies, and over ten thousand importers and exporters use our platform to move goods around the world faster and more efficiently. This matters. Efficient freight ultimately makes things cost a little bit less when you buy them in the store.
As the leading global freight booking platform for a massive industry, we’ve been crushing it with double-digit growth, year after year, supporting well over one million shipments every year.
About the Role
Freightos Group is seeking a dynamic FP&A Analyst experienced in financial planning and analysis. As an integral part of our Finance team, you will significantly contribute to shaping strategic decisions across the company. This role involves ensuring the precision of financial forecasts, delivering insightful analyses, and spearheading process improvements that drive our growth and profitability. If you’re passionate about financial strategy and eager to make a tangible impact in a leading global logistics technology company, we’d love to have you on board.
Responsibilities
Financial Reporting
Conducting comprehensive analyses of monthly, quarterly, and annual financial statements.
Crafting insightful reports to aid managerial decision-making.
Ensuring compliance with accounting standards and regulatory mandates during book closures.
Budgeting and Forecasting
Facilitating the budgeting and forecasting processes, encompassing both Group and business unit perspectives.
Engaging in ""What-if"" scenario planning and variance analysis to preemptively address risks and opportunities.
Presenting financial insights to senior leadership and external stakeholders.
Data Management
Managing and updating financial databases and systems to guarantee data integrity and accuracy.
Identifying potential enhancements in reporting tools and methodologies.
Ad Hoc Analysis
Running ad hoc financial analyses on unit economics, Customer Acquisition Costs (CAC), Lifetime Value (LTV), and headcount KPIs.
Contributing to special projects aimed at driving process improvements and organizational efficiency.
Requirements:
About You
Basic requirements:
2–3 years of experience in FP&A or financial controlling roles.
Proficiency in Excel and familiarity with Business Intelligence tools like Domo, Power BI, Tableau, or Looker.
Strong foundation in accounting principles and procedures.
A Bachelor's degree in Finance, Economics, Business Administration, or a related field.
Fluency in English and Spanish, with strong communication skills in both.
Demonstrated analytical and quantitative capabilities, coupled with a knack for independent collaboration in fast-paced settings.
Preferred Requirements:
Experience with ERP systems (e.g., Netsuite, SAP) and FP&A software in SaaS platforms.
Exposure to a hi-tech start-up environment.
Ability to communicate complex financial information effectively to non-finance stakeholders through storytelling.
Why Freightos is the Perfect Runway for Your Career!
We genuinely value work-life balance!
We work hybrid, allowing you to enjoy quiet days at home, free from traffic, with in-office days, to meet your fabulous team face-to-face just 5 days a month.
We believe that employees who get better make us all better. We strive for professional development and continuous learning. Alongside career support and guidance,
you’ll receive an annual training budget
for personal and professional development.
We don’t just offer jobs—we offer a stake in something bigger. As part of Freightos,
you’ll be eligible to receive equity incentive grants that vest over time
, aligning your success with the company’s long-term growth. The more we build together, the more you benefit.
A multicultural global team makes global freight easier. You’ll
work with people from around the world
, gain new perspectives, and experience diverse ways of thinking—fun and eye-opening!
Some cool perks such as
Private Health Insurance
,
Ticket Restaurant,
and
Flexible Remuneration
options for nursery, transport, and restaurant vouchers.
Flexible schedule & intensive working hours on Fridays
so that you can enjoy a longer weekend :)
Our
office
in
Torre Glories
is located in the center of the tech HUB in Barcelona and has stunning city views. We organize events and gatherings throughout the year to keep the team connected and energized.
Freightos is an equal opportunity employer, committed to treating all potential employees fairly and ensuring equal opportunities for everyone.
Hybrid:
Yes"
1,d01ca385b03a8ab5,BI Analyst,Grupo Planeta,"Barcelona, Barcelona provincia",,,,https://es.indeed.com/viewjob?jk=d01ca385b03a8ab5,"Activa | Planeta Innovación Somos el proveedor de servicios corporativos de Grupo Planeta. Desde hace más de 40 años hemos acompañado a diferentes áreas de negocio en su lanzamiento y crecimiento, diseñando múltiples procesos con ayuda de las mejores soluciones tecnológicas.
Así pues, en Activa | Planeta Innovación nos encontramos en la búsqueda de un/a
Data Analyst
para el departamento de Data Analyst & Reporting.
¿En qué consistirá tu día a día?
Diseño y mantenimiento de cuadros de mando en Power BI.
Conexión e integración con fuentes de datos complejas: SQL Server, Azure Data Lake, Excel, APIs, etc.
Preparación, limpieza e ingesta de datos utilizando herramientas de ETL (Power Query, Azure Data Factory u otras).
Automatización de reportes y procesos de análisis para diferentes stakeholders.
Generación de insights para negocio y soporte a los equipos de operaciones, calidad o dirección.
Optimización de modelos de datos (relaciones, medidas DAX, KPIs).
Validación de calidad de datos y seguridad de acceso (RLS si aplica).
Documentación técnica y funcional de los procesos desarrollados.
¿Qué nos gustaría ver en tu CV?
Conocimientos técnicos requeridos:
Visualización Power BI (avanzado): dashboards, medidas DAX, RLS.
Modelado y tratamiento Power Query, Excel avanzado, SQL.
Ingesta y almacenamiento Data Lakes (Azure preferible), ETL.
Bases de datos SQL Server, PostgreSQL, Azure Synapse.
Cloud (opcional) Azure (Data Lake, Data Factory, Synapse).
Otros Python o R para análisis estadístico (opcional).
Grado o FP Superior en Estadística, Matemáticas, Informática, Ingeniería, ADE con especialización en análisis de datos o similares.
3 años de experiencia realizando funciones similares.
Valorables certificaciones en Power BI, Azure Data Engineer, u otras similares (deseable).
Encajarías con nosotros/as si te consideras una persona...
Con capacidad analítica y pensamiento crítico.
Autónoma y con habilidades de gestión del tiempo.
Hábil para la comunicación efectiva para traducir los datos en acciones para el negocio.
Atenta al detalle y proactiva en la mejora continua.
Si crees que es tu oportunidad laboral, ¡Te animamos a inscribirte y formar parte de nuestro equipo!
En Grupo Planeta ofrecemos igualdad de oportunidades. Nos comprometemos a tratar todas las candidaturas por igual en función de sus capacidades, logros y experiencia
independientemente de su raza, nacionalidad, sexo, edad, discapacidad, orientación sexual, identidad de género o cualquier otra clasificación protegida por la ley."
2,cdef0123456789ab,,,,,,,https://es.indeed.com/viewjob?jk=cdef0123456789ab,
3,8c331ce1dbb312a4,Junior Data Analyst,Holded,"Trabajo híbrido in 08039 Barcelona, Barcelona provincia",,Jornada completa,,https://es.indeed.com/viewjob?jk=8c331ce1dbb312a4,"Join the team. Make an impact.
At
Holded
, we believe that daily admin should never stop a great idea from becoming a success. That's why we create intuitive software to empower anyone who dares to start their own business. Long story short: we want to make business simple.
In order to create cutting-edge products that meet the needs of the sector, talent is essential.
We are looking for passion, creativity, and commitment
. In return, we offer the same.
The Role
Data plays a key role in how we design the product, support our customers, and make better decisions across the company. Our Data team works with teams across Holded (Product, Sales, Support, Marketing and Finance) and we’re now looking for a Junior Data Analyst to join us, with a focus on Product and Business teams (Sales, Ops, Support and Partnerships).
You’ll be part of a growing data organisation that includes analysts, data engineers and data science, and you’ll work closely with both business and product teams from day one.
You’ll start by supporting existing analysts and progressively take on more ownership as you grow. Your work will include:
Building and improving dashboards used by Product and Business teams
Answering data questions and helping teams understand what’s happening in the business
Supporting product launches by helping define metrics, validating tracking and monitoring results
Developing data models using dbt
Contributing to shared metrics and a common semantic layer
Working closely with Product Managers and Business stakeholders
As you gain confidence, you’ll also start expanding into more analytics engineering and data engineering work, such as:
More advanced data modeling
Data quality and observability
Contributing to the overall data pipelines and maintaining the data platform
This is a growth path we encourage for people interested in becoming more technical over time.
Within your first year, you should:
Build dashboards and analyses that teams rely on
Contribute DBT models with autonomy
Help reduce the day-to-day workload for senior analysts
Feel comfortable answering questions and suggesting improvements
Start taking on more technical and platform-related work
About you
Bachelor Degree in Computer Science, Master in Data Science or any related field
Around 1–3 years of experience in data, analytics or a similar role
Good SQL
Some experience with Python is a plus
Data modeling knowledge
Ideally, some experience working close to product and business teams
Interest in Data Engineering as a potential future career
Curious mindset and willingness to learn
Spanish (working proficiency), English (Intermediate)
Based in Barcelona
Experience with tools like dbt, BigQuery, Looker Studio, Google Tag Manager or cloud platforms is a plus, but not required.
What it's like to work with us
Permanent contract
Short workday on Fridays
26 paid vacation days
Free catered lunch at the office
English/Spanish classes
Referral program
Continuous Training: an annual budget for training for each employee
Fully equipped kitchen with snacks, drinks, and fresh fruit
Top-notch work equipment
Office in front of the sea with ping pong, pool table, PlayStation…
Interesting projects and a great work environment
An excellent opportunity to grow with the company
Discounts on a Gym membership
At Holded, we do things a bit differently. There’s no corporate nonsense and no old-fashioned hierarchy. Instead, we work in self-sufficient, autonomous teams. We are an equal opportunities employer and welcome applications from all suitably qualified persons regardless of their race, sex, disability, religion/belief, sexual orientation, or age.
We didn’t start Holded to be another software company. We started Holded to
be epic
, and you will be part of it."
4,e84341c140a96071,Junior Data Analyst,EXOGROUP,"Trabajo híbrido in 08005 Barcelona, Barcelona provincia",,Jornada completa,,https://es.indeed.com/viewjob?jk=e84341c140a96071,"About ExoClick:
ExoClick is an innovative and global ad company serving 20 billion daily geo-targeted ads to web and mobile advertisers & publishers. We are part of EXOGROUP, a set of companies made up of +200 talents and offering a wide range of services within the digital business landscape with headquarters in Barcelona and offices in Dublin, Porto and Valencia.
Role
As a Junior Data Analyst you will be part of the Analytics team at EXOGROUP, which is a highly skilled and qualified department that has diverse responsibilities.
Together with the Director of Analytics & Data Science and the Analytics team you will develop and maintain data reports that provide critical business visibility on key revenue and profit trends, by product, market, vertical and traffic sources. Additionally, you will collaborate with IT and Product teams to identify potential improvements in the platform by analysing and designing algorithms.
Tasks
Structure masses of information, identify data-driven trends and understand what really matters and why.
Collect KPIs and design/define visualizations.
Deliver insights and analytics across the company's operation and advertising departments.
Ability to identify and escalate issues and opportunities ahead of time helping to reduce impact and improve financial / performance implications.
Develop and maintain different internal applications and dashboards.
Together with the Analytics team, you will develop and promote actionable insights to increase the profitability of the company.
Skills
You thrive on data and have a highly analytical mind.
Degree in computer science or mathematical sciences.
Managing and prioritising workload, taking ownership of all assigned tasks.
You feel comfortable retrieving, cleaning, tidying and processing data from different sources and formats. You have a general understanding of how web applications work.
You have programming experience in Python.
You are familiar with SQL and Git.
Experience with advanced statistical methodology, data and datasets is a plus.
Strong verbal and written communication skills.
The desire and agility to work in a fast-paced and ever evolving environment.
What you'll find working at ExoClick:
We offer a position in a young, dynamic and international team with exceptional working conditions in unique offices high up in the Torre Mapfre, one of Barcelona's world-renowned landmarks, located right on the city's seafront.
Additionally, we offer the opportunity for permanent training, personal development, ambitious career growth, and a competitive salary.
Most of all, we offer a position in a team that thrives on achievement, success, and leadership within our industry. Our core company value is innovation: where people and creativity drive innovative technology. If you have an innovative, winning mentality, this position is for you!
Our company benefits:
Flexitime and summer schedule;
Private health insurance;
Your Birthday off as a paid holiday;
Flexible compensation plan: travel, meals & childcare;
Additional internal and external training through our EXOGROUP University program;
English, Portuguese & Spanish classes;
training budget & study leave;
Employee referral program bonus - You can earn 2500Eur by referring someone!
Exciting team buildings in locations such as Ibiza;
Office games room/chill-out zone;
Organic fruit;
Monday team breakfast;
Subsidised Well-Being activities;
Calm App;
Yoga classes;
Massages;
Subsidized catering;
Flexible remote work;
Home office set up budget of 500 Eur;
Is this not the right role for you? Then make sure to check out all other roles we have open for you on our careers website.
The companies that are part of
EXOGROUP
are the data controllers regarding your personal data, in order to consider your application for present or future vacancies in our organization. For more information about the processing of your personal data and on how to exercise your rights of access, rectification, suppression, limitation, portability and opposition please visit the
Protection Informative Clause Candidates."
5,a897d014547833a7,BI / Analytics Specialist,Entravision,"Barcelona, Barcelona provincia",,Jornada completa,,https://es.indeed.com/viewjob?jk=a897d014547833a7,"Adwake
is a tech-enabled services company powered by Entravision. At Adwake, we place cutting-edge technology and quality service at the heart of our approach to effectively find, connect and engage with your ideal customer across every screen.
We are looking for a detail-oriented
BI / Analytics Specialist
to turn our vast data streams into actionable intelligence. As the architect of our reporting ecosystem, you will ensure that every department has the insights they need to make winning decisions. If you love building elegant dashboards and hunting for patterns in data, you belong at Adwake.
Your Mission:
Your mission is to provide a ""single source of truth"" for the company. You will take full ownership of our reporting tools (Looker/Tableau), maintain our CRM dashboards, and play a critical role in protecting our ecosystem through advanced fraud analysis.
Key Responsibilities:
Reporting Excellence:
Design, build, and maintain sophisticated dashboards in Looker, Tableau, or similar BI tools.
CRM Ownership:
Take the lead on CRM dashboard maintenance, ensuring data integrity and usability for the Sales and Growth teams.
Fraud Analysis
: Develop and implement models to detect and mitigate fraudulent activity within our traffic and user base.
Data Consultation:
Act as an internal consultant, helping teams translate business questions into data queries.
Process Automation:
Streamline data collection and reporting processes to increase company-wide efficiency.
Skills and Requirements:
3-5+ experience in a Business Intelligence or Data Analyst role.
Expertise in BI tools (Looker, Tableau, or PowerBI) and advanced SQL.
Experience with fraud detection or anomaly analysis in a digital or mobile environment.
Strong understanding of CRM structures and data hygiene.
Ability to communicate complex technical findings to non-technical stakeholders.
Strong organizational skills and attention to detail.
Exceptional English skills (C1 level), both written and spoken.
️ Please submit your CV in English to be considered for this role.
What We Offer
Exciting challenges and opportunities for growth
Ticket Restaurant
️ Wellbeing and gym membership
Breakfast, Fruit & Snacks at the office
Monthly team Events
Work Anniversary Celebrations
Gift Cards for special occasions
Referral Program
Hybrid work format, combining remote and in-office work twice a week
DBgMOdUmvy"
6,44e2f2db3bee962f,Lead Data Analyst - Marketing,Rover,"Barcelona, Barcelona provincia",,Jornada completa,,https://es.indeed.com/viewjob?jk=44e2f2db3bee962f,"Who we are:
Want to make an impact? Join our pack and come work (and play!) with us.
We believe everyone deserves the unconditional love of a pet—and at Rover, our mission is to make it easier to experience that love. Founded in 2011, the Rover app and website connect dog and cat parents with loving pet sitters and dog walkers in neighborhoods across the US, Canada, and Europe. We empower our community of trusted pet sitters and dog walkers to run their own pet care businesses on Rover with the tools and security of a global company to back them.
Headquartered in Seattle, Washington, we work closely with our teams in Barcelona, San Antonio, Spokane, and remote locations. We’ve got a reputation for being a great place to work, having been named among the 100 Best Companies to Work For in Seattle Business Magazine and Washington’s Best Workplaces in the Puget Sound Business Journal. We're an agile, fast-growing company, and our leadership comes from some of the world's most respected tech companies.
At Rover, our furry coworkers are just as important as our human ones—and we wouldn’t have it any other way. Along with making the joys of pet parenthood more accessible, we’re committed to fostering a diverse, inclusive, and welcoming community of pet people—and that starts with our employees.
Who We're Looking For:
We're looking for a Lead Analyst to ensure that our Marketing team makes data-driven decisions at every stage—from early-stage ROI modeling to designing and analyzing experiments that drive global growth. You will be the primary point of contact for our Growth, SEO, and International teams, collaborating directly with marketing leadership to define strategy.
You will take the lead in designing measurement frameworks and analyzing performance to inform where we invest next. You will be empowered to identify the root causes of fluctuations in our metrics and present the overarching narrative of marketplace performance to the broader organization. When the data shows a need for change, you are expected to bring together the evidence and the right people to find the solution.
This is a hybrid position that has the minimum expectation to work out of our Barcelona Office in the Poblenou neighborhood two days per week on Mondays and Thursdays. For this reason, candidates must be based in Barcelona or willing to relocate.
Your Impact:
Deepen customer engagement: Lead the analysis on customer retention and LTV expansion. You will identify underlying trends and proactively recommend strategies to the marketing team to increase long-term user value.
Tell stories that drive action: Design the reporting architecture and define the key business metrics for the department. You will build dashboards and craft data narratives that directly influence decisions made by marketing and cross-functional leadership.
Drive marketing efficiency: Define the way we run experimentation in the Marketing space. You will advance our testing methodology to ensure statistical rigor and optimize strategies across multiple marketing functions.
Partner with key decision-makers: Partner with Growth, International Expansion, and SEO leadership. You will translate their complex business goals into analytical roadmaps and provide the insights needed to prioritize their initiatives.
Your Qualifications:
6+ years of experience using data to drive business impact, including identifying actionable insights, crafting compelling narratives, and partnering with cross-functional teams to define and implement solutions.
Advanced proficiency in SQL, with the ability to review and optimize code from other analysts and collaborate with engineering on data models.
Strong proficiency in statistical analysis and using Python or R.
Proven expertise in A/B testing, statistical analysis, and experimental design.
Proven ability to manage large analytical initiatives from design to completion, including managing stakeholder expectations and timelines.
Demonstrated success in collaborating cross-functionally to define business problems, scope project deliverables and timelines, implement reporting solutions, and shape organizational strategy.
Highly adept communicator of data insights across technical and non-technical audiences.
Data visualisation tool experience (e.g. Mode, Looker, Tableau, etc.)
Nice to Have:
Demonstrated experience mentoring and developing junior team members, analysts, and non-technical stakeholders.
Experience in a two-sided marketplace.
Benefits of working at Rover:
Long-term incentive plan with a company performance-based cash payout
Pension plan
Private medical insurance
25 days PTO
Meal allowance and flexible compensation plan (transport and nursery)
Gym membership
€450 to cover the costs associated with the adoption of a pet
Annual €150 wellness reimbursement
Flexible work hours, sometimes you'll need to be in at certain times, but on the whole, we're pretty flexible when it comes to managing workload and time
Grab snacks, fresh fruit, in our kitchen to keep yourself going
Regular team activities, events, game nights, and more
Dog-friendly office
Rover is an equal-opportunity employer committed to promoting a diverse, inclusive, and inventive environment with the best employees. We’re driven by seeing our people succeed and grow, and we work to ensure everyone contributes to their fullest potential. We consider all qualified applicants without regard to age, race, color, ancestry, national origin, religion, disability, protected veteran status, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable laws, regulations, and ordinances.
_"
7,0a543d40dea506b1,Software Business Analyst Intern,Aizon,"Trabajo híbrido in Barcelona, Barcelona provincia",,Contrato en prácticas,,https://es.indeed.com/viewjob?jk=0a543d40dea506b1,"Who we are
Aizon
is a software-as-a-service provider that transforms manufacturing operations in life science industries using advanced analytics and artificial intelligence.
Following our recent Series C round of growth funding, we are looking for ambitious new team members motivated to directly impact our future growth and success as we launch what we consider “Aizon 3.0”.
Aizon is helping pharma manufacturers and CDMOs make better decisions in GMP operations.
What makes us different from other manufacturing platforms?
We help operations leaders and engineers avoid endless cycles of chasing data in disparate and heavy-handed systems and rapidly understand how to run their manufacturing processes better.
We’re solving multiple problems in GMP operations that cost manufacturers millions yearly while accelerating their digital maturity journey. One of our unique capabilities is the ability to operationalize the use of predictive AI models in real-time without a big data science staff.
We’re backed by both industry and software investor firms like NewVale Capital, Atlantic Bridge, Danaher, Honeywell, CrossLink, and UnCork, with solid industry and technology expertise.
Our
mission
is to improve global health by optimizing how medicines are manufactured so that pharma and biotech companies can provide patients worldwide with the right medicine at the right time and price.
Join us if you are motivated to directly impact our company's success and growth path forward and, more importantly, by positively contributing to the life science industry and deserving patients worldwide.
The Position
The
Software Business Analyst Intern
will report to the Software Business Analyst Manager & Product Owner.
We are looking for a dedicated, proactive, and enthusiastic individual who is equally passionate about analyzing and defining new software functionalities as they are about documenting and formalizing them.
Responsibilities:
Participate in the construction and maintenance of the functional reference of Aizon's products.
Analyze and refine the requirements of new features.
Assist in the functional design of new features, bringing a technical eye and practical sense.
Composing the functional documentation of these new features.
Support the communication between Product Owners, UX designers, and SW developers.
Knowledge and Experience - Must Have:
At least a bachelor's degree in information technology and computer science.
Proficient in spoken and written English.
Basic programming skills and knowledge of programming frameworks.
Knowledge and Experience - Nice to Have:
UML knowledge.
Basic programming skills and knowledge of programming frameworks.
Experience with a relevant CASE tool (Visual Paradigm, Enterprise Architect, etc.).
What We Offer
\uD83D\uDCBC Unique opportunity to join our company as it scales with excellent market traction and huge potential to grow globally
\uD83D\uDCB0 Competitive salary (according to your experience/skills)
\uD83C\uDF93 Internal training and certifications plan
\uD83D\uDDC2️ Career plan
\uD83C\uDF89 Team-building activities
\uD83D\uDCBB Top-notch ""tech pack"" – We are Mac lovers!
\uD83D\uDE80 An open and collaborative work environment with a young and dynamic team and a very international culture
\uD83D\uDCA1 An opportunity for personal and professional growth, supported by stellar investors and the exciting challenges that come with joining a company at the start of its growth trajectory
Join our team and significantly impact our company's growth and success as we shake the pharmaceutical manufacturing industry. Apply now and be part of our journey to transform the way pharmaceutical companies operate.
We are dedicated to maintaining an inclusive workplace in which all employees are treated with respect and are able to contribute meaningfully to society. Our organization brings together professionals from diverse backgrounds, representing more than 28 nationalities, and we take pride in being an equal-opportunity employer.
Employment decisions are based exclusively on qualifications, merit, and business requirements. Applicants who require assistance or accommodation due to a disability may contact us at
jobs@aizon.ai
."
8,3a577d8e5f1dc4bf,"Data Engineer, Analytics",Rover.com,"Trabajo híbrido in Barcelona, Barcelona provincia",,Jornada completa,,https://es.indeed.com/viewjob?jk=3a577d8e5f1dc4bf,"Who we are:
Want to make an impact? Join our pack and come work (and play!) with us.
We believe everyone deserves the unconditional love of a pet—and at Rover, our mission is to make it easier to experience that love. Founded in 2011, the Rover app and website connect dog and cat parents with loving pet sitters and dog walkers in neighborhoods across the US, Canada, and Europe. We empower our community of trusted pet sitters and dog walkers to run their own pet care businesses on Rover with the tools and security of a global company to back them.
Headquartered in Seattle, Washington, we work closely with our teams in Barcelona, San Antonio, Spokane, and remote locations. We’ve got a reputation for being a great place to work, having been named among the 100 Best Companies to Work For in Seattle Business Magazine and Washington’s Best Workplaces in the Puget Sound Business Journal. We're an agile, fast-growing company, and our leadership comes from some of the world's most respected tech companies.
At Rover, our furry coworkers are just as important as our human ones—and we wouldn’t have it any other way. Along with making the joys of pet parenthood more accessible, we’re committed to fostering a diverse, inclusive, and welcoming community of pet people—and that starts with our employees.
This role provides relocation assistance to Barcelona. This role is permanent/full-time and hybrid - Mondays & Thursdays in our office in Poblenou in Barcelona.
Please submit CV in English
Analytics Engineering at Rover:
Data powers everything at Rover. Our team works closely with all parts of the organization to ensure that the data the business relies on is fresh, accurate, and reliable and that our reporting infrastructure meets the needs of everyone from analysts to the C-suite.
We own and maintain the data infrastructure and tooling used all throughout Rover. Our team is taking on a new Analytics Engineering function, aiming to empower Rover’s Analysts and Data Scientists by building high quality and easy to use datasets, and ensuring the wider business has high quality data integrated into where it’s needed. We’re looking for someone excited to partner closely with our stakeholders, dive deep into the data needs of our business, build highly impactful data products and pipelines to integrate them into third party tools!
Your Responsibilities:
Lead and contribute to cross team data projects to ensure our data pipelines are reliable, efficient, and testable
Work with internal stakeholders to ensure data products align with business goals, proactively surfacing areas of improvement
Identify areas of improvement throughout Rover’s data ecosystem to build out the Analytics Engineering portion of our roadmap
Deliver well-defined, tested, documented, and code-reviewed ETL/ELT pipelines and DBT models
Build and maintain self-service tools and data products that empower engineers, data scientists, and analysts to quickly get key business insights
Enable the effective usage of our platform by partnering with Product Engineering, Data Science, and Analytics
Investigate and solve data related bugs and technical issues efficiently within our Data Platform tooling and DBT models
Your Qualifications:
4+ years of Data/BI/Analytics/Software engineering, data science, or similar experience
Expertise in Python with a passion for writing high-quality code
Advanced SQL skills with experience writing/tuning/debugging queries against large datasets from multiple sources
Experience building, maintaining, and collecting requirements for high quality datasets that meet the needs of our stakeholders
Excellent communication skills and the ability to collaborate with technical and non-technical teams
Experience building ETL/ELT pipelines that are reliable, properly monitored, and easy to maintain
Familiarity with the majority of our tech stack: Python, DBT, Dagster, Redshift, Kubernetes, and Terraform
Bonus Skills:
Familiarity with data governance best practices, such as implementing and maintaining data policies, standards and procedures
Experience with Sagemaker, ML Flow, and/or other ML Ops related tooling
Benefits of Working for Rover:
Competitive compensation
Long-term incentive plan with a company performance-based cash payout
Permanent contract
Pension plan
Meal tickets through Cobee
Generous PTO allowance
Private health insurance
Discounted gym membership
Bring your dog to work (and unlimited puppy time)
Monetary help for adopting a dog or cat plus yearly credit to use on our platform
A wide variety of snacks, fresh fruit, and beverages in our kitchen to keep yourself going
Regular team activities, including happy hours, game nights, and more
Rover is an equal-opportunity employer committed to promoting a diverse, inclusive, and inventive environment with the best employees. We’re driven by seeing our people succeed and grow, and we work to ensure everyone contributes to their fullest potential. We consider all qualified applicants without regard to age, race, color, ancestry, national origin, religion, disability, protected veteran status, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable laws, regulations, and ordinances.
_"
9,4496d6a782288478,Senior Data Analyst,Appodeal,"Barcelona, Barcelona provincia",,,,https://es.indeed.com/viewjob?jk=4496d6a782288478,"Appodeal
is a dynamic US-based product company with a truly global presence.
We have offices in
Warsaw, Barcelona and Parkland (FL),
along with remote team members located around the world.
Our company thrives on diversity, collaboration, and innovation, making us a leader in the mobile app monetization space.
Why Appodeal?
At Appodeal, we're more than just a company—we're a team united by a common mission:
Help people discover and grow their talents through products that enable successful mobile app businesses!
We take pride in our cutting-edge product and our internationally dispersed team of talented professionals.
Here's what we value, and what we hope you do too:
Continuous Learning and Growth:
We are passionate about learning, growing personally, and building rewarding careers.
Making an Impact:
We are committed to building a history-defining company that leaves a lasting impact on the mobile app industry.
Solving Exciting Challenges:
We tackle complex problems every day, supported by a team of world-class professionals and mentors.
Enjoying the Journey:
We believe in having fun while working toward our goals.
We are looking for a talented and driven
Senior Data Analyst
to join our AdNetwork team. You will play a crucial role in optimizing our advertising operations and enhancing the overall performance of our ad campaigns. Your analytical skills, Python expertise, and proficiency in pandas will be instrumental in uncovering valuable data-driven insights that shape our advertising strategies.
Responsibilities:
Collaborate with the AdNetwork team to understand business requirements and objectives related to advertising campaigns.
Collect, clean, and analyze large datasets to identify trends, patterns, and opportunities for optimization.
Develop and maintain data pipelines to ensure smooth data extraction and transformation processes.
Create insightful and actionable reports and dashboards for key stakeholders to track advertising performance metrics.
Conduct in-depth analysis of campaign data to provide actionable recommendations for improving ad targeting, bidding strategies, and performance.
Identify and troubleshoot data quality issues to maintain the accuracy and reliability of the data.
Stay up-to-date with industry trends, best practices, and emerging technologies in data analysis and advertising.
Requirements:
Proven work experience as a
Data Analyst
or in a similar analytical role, 3+ years.
Experience with databases, knowledge of SQL and Python.
Solid understanding of data analysis techniques.
Excellent problem-solving skills and attention to detail.
A proactive and self-driven approach to work, with the ability to work independently and as part of a team.
Experience in the
advertising industry
or knowledge of ad network operations
Nice to have:
Management experience.
Join our innovative AdNetwork team and help shape the future of advertising through data-driven insights and impactful strategies. If you are excited about the possibilities of data analysis and love to work with Python and pandas, we encourage you to apply and be a part of our dynamic team.
With an outstanding product and a mission that excites and inspires, Appodeal offers a unique opportunity to make an impact while being part of an amazing team.
Join us
and help shape the future of mobile app success!"
