titulo,empresa,ubicacion,url,id,fecha,descripcion,fecha_publicacion
"📍 Data Scientist – ByRatings (Remote-Friendly | Flexible Hours)
📍 Data Scientist – ByRatings (Remote-Friendly | Flexible Hours)",ByRatings,"Barcelona, Cataluña, España (Híbrido)",https://www.linkedin.com/jobs/view/4368494721/,4368494721,,"Acerca del empleo
¿Quiénes somos?

En ByRatings llevamos más de 10 años conectando datos, IA y negocio para mejorar el rendimiento comercial. Hemos desarrollado una plataforma SaaS de alto rendimiento, basada en Inteligencia Artificial y Machine Learning, que se integra fácilmente con CRMs y plataformas publicitarias. Nuestra solución permite a las empresas activar y aprovechar sus datos de marketing y ventas mediante herramientas de IA que generan insights estratégicos y recomendaciones automatizadas para optimizar los KPIs clave del funnel comercial.

Combinamos tecnología avanzada, escalabilidad y personalización, con un equipo multidisciplinar comprometido con la innovación y el impacto real en el negocio.

Buscamos un/a Data Scientist con talento, iniciativa y pasión por los datos, que quiera enfrentarse a retos reales en un entorno dinámico y colaborativo.

🎯 ¿Qué harás en tu día a día?

Diseñar, desarrollar y desplegar soluciones de Machine Learning personalizadas orientadas a mejorar los KPIs de marketing y ventas de nuestros clientes.
Medir y analizar el impacto de las soluciones implementadas a lo largo del funnel de conversión.
Trabajar en proyectos de diferentes sectores como Educación, Real Estate, SaaS B2B, Automoción, Seguros, entre otros, enfrentándote a retos variados y con impacto real en negocio.
Asumir ownership de proyectos y clientes, liderando el ciclo completo de desarrollo e implementación de las soluciones junto al equipo.
Comunicar resultados de forma clara y efectiva a perfiles tanto técnicos como no técnicos.
Participar en iniciativas de innovación interna, contribuyendo al diseño de nuevos productos basados en analítica descriptiva/predictiva/prescriptiva e IA generativa.

✅ Lo que buscamos en ti:

Formación superior en Ingeniería, Matemáticas, Física, Estadística o áreas afines con una base estadística/analítica sólida. 
3+ años de experiencia en proyectos de modelización predictiva y tareas propias de un rol de Data Scientist.
Sólido conocimiento de Python (≥ 3 años), su ecosistema de librerías de ML/IA (pandas, numpy, scipy, scikit-learn, xgboost, matplotlib), y experiencia con Jupyter Notebooks.
Nivel fluido de español e inglés.

🧠 Valoramos especialmente si tienes:

Experiencia en el desarrollo y productivización de modelos predictivos en entornos de negocio con un impacto clave en KPIs
Conocimientos en automatización de procesos ML
Experiencia aplicando IA generativa en contextos de negocio (chatbots o analítica conversacional)

💼 Lo que ofrecemos:

Contrato a tiempo completo, con horario flexible.
Modalidad de trabajo mayoritariamente remota (80%), con opción híbrida o presencial. Oficina ubicada en Barcelona.
Salario competitivo, acorde a tu experiencia y perfil.
Equipo con cultura colaborativa y mentalidad de aprendizaje continuo.

✨ Beneficios adicionales:

Programa de viernes libres (Free-Fridays) en función de la antigüedad.
Presupuesto para formación
Seguro médico privado.
Oficina cómoda y con buen ambiente, pensada para que te sientas a gusto si decides venir presencialmente.

🚀 ¿Te interesa formar parte del equipo?

Si te apasiona resolver problemas con datos y quieres crecer en un entorno innovador, dinámico y con impacto real en negocio, este es tu sitio. Aplica ahora para unirte a ByRatings y cuéntanos brevemente algún proyecto o reto en el que hayas disfrutado trabajando con datos. Nos encantará saber más sobre ti y lo que te motiva.",
"Data Analyst Junior
Data Analyst Junior",Evolve,España (En remoto),https://www.linkedin.com/jobs/view/4381466326/,4381466326,,"Acerca del empleo
Descripción de la oferta
En nuestro Programa Talento Joven buscamos personas recién tituladas en Formación Profesional de informática, análisis de datos o programación, con interés en adquirir experiencia y conocimientos prácticos en el campo del Data Science.



Funciones:
Participar en un programa formativo de 30 semanas enfocado en habilidades técnicas y prácticas de análisis de datos.
Trabajar sobre proyectos reales y simulaciones del entorno empresarial, incluyendo retos de predicción, análisis exploratorio y visualización de datos.
Colaborar y aprender directamente de profesionales en activo que te acompañarán durante tu evolución.
Practicar con herramientas como Python, SQL, Pandas, Power BI, Jupyter Notebooks y Scikit-learn.
Aplicar procedimientos y buenas prácticas de análisis en entornos controlados de laboratorio.


Lo que ofrecemos:
Plan formativo diseñado y actualizado según las necesidades reales del mercado laboral en data.
Formación práctica, en grupo reducido, orientada al trabajo que se realiza en equipos de data science.
Mentoring personalizado con especialistas del sector.
Posibilidad real de entrevista para ofertas de empleo al finalizar el programa en empresas colaboradoras.
Red de contacto con profesionales y exalumnos del programa.


Requisitos:
Ciclo Formativo de Grado Medio o Superior relacionado con informática, análisis de datos o programación.
Interés por el análisis de datos y motivación para afrontar retos prácticos.
Capacidad para trabajar en equipo, comunicarte y aprender en un entorno técnico.


Tipo de puesto: Formativo/Prácticas
Ubicación: Modalidad híbrida (presencial y online) según disponibilidad.
Duración: 30 semanas.
Incorporación: Abril 2026.",
"Junior Data Analyst
Junior Data Analyst with verification",Eurofragance SLU,"Sant Cugat del Vallès, Cataluña, España (Híbrido)",https://www.linkedin.com/jobs/view/4380987091/,4380987091,,"Acerca del empleo
Ever dreamed of working where fragrances tell stories?

At Eurofragance, we don’t just create fragrances — we create experiences. With passion, excellence and bold entrepreneurial spirit, we’re growing fast and want you to grow with us.

Join a global team headquartered in Barcelona, with offices in Dubai, Singapore, Mexico, Turkey, India… and more!

Here, your work truly matters — and so do you.

🎯 What's your mission?

The Junior Data Analyst supports the company’s data-driven culture by preparing, analyzing, and visualizing data to help stakeholders make informed decisions. Working under the guidance of the Senior Data Analyst, they will learn to use modern analytics tools, contribute to both standard and ad-hoc reporting, and ensure data consistency across business areas. To carry out their analytical tasks, they will have to develop an understanding about source systems like SAP or Microsoft Dynamics.

🛠️Here’s what you’ll be rocking every day

Support the development, improvement, and maintenance of standardized reports and dashboards (Power BI, Excel, etc.). You will learn and apply best practices in data modeling, DAX, Power Query, and visualization design.
Carry out ad-hoc analytics tasks in Excel, PowerBI, or Python.
Support the transition from Qlik to Power BI and contribute to the adoption of new tools and methods.
Assist with the cleaning of data from different systems (SAP, Dynamics, etc.) ensuring accuracy and consistency.
Collaborate with business users, accompanied by the Senior Data Analyst, to understand their data needs and translate them into clear, visual insights.
Participate in training sessions and continuously develop technical and analytical skills.

✅ What You Need To Shine In This Role

Academic Background : business / scientific /technical

0-1 years of experience in a similar role

Key Knowledge:

Data Analysis & Interpretation: Basic analytical skills and the ability to interpret and summarize data clearly.
Data Visualization: Some experience or familiarity with tools such as Power BI or Excel; curiosity to learn Power Query, DAX, and visualization best practices.
Data Management & Processing: Understanding of data cleaning, transformation, and basic ETL concepts; interest in learning how data warehouses and source systems (SAP, Dynamics, etc.) connect.

Desirable knowledge:

Programming & Automation: Basic knowledge of Python or SQL to handle data preparation and simple analyses (internship or academic level).

✨ What do we offer you at Eurofragance?

Much more than just a job! Take a look at everything we’ve prepared for you:

Stability and growth in a solid company in full expansion.
International environment with a multicultural team and language practice.
Flexible start time and remote work 2 days/week (after 3 months and as long as the role is eligible for remote work).
Flexible compensation with Cobee (meals, transport, childcare, etc.).
Health & wellness services: medical, physiotherapy, psychological support.
Sports facilities: paddle court, gym, yoga classes.
Nomad Week: work 2 non-consecutive weeks from anywhere in the world.
Medical & life insurance for your peace of mind.
Special prices on perfumes — because you’ll want to wear what we create.
Healthy meals three times a week, served sustainably.
Pension plan to help you build a secure financial future.

🌍 Why Eurofragance?

We believe in diversity and in creating a space where everyone feels welcome — regardless of gender, age, background, orientation, or ability.

We’re also deeply committed to sustainability: reducing our carbon footprint, enhancing energy efficiency and cultivating environmental respect.

By joining us, you become part of a company that actively works to make a positive impact on the planet — and on people.

Ready to join us on this sensorial adventure? 🌍",
"Data Analyst (Spanish) | $11/hr Remote
Data Analyst (Spanish) | $11/hr Remote",Crossing Hurdles,España (En remoto),https://www.linkedin.com/jobs/view/4376720386/,4376720386,,"Acerca del empleo
Position: LLM – AI Quality Analyst (Personalization) – Spanish
Type: Short-Term Contract (2 months)
Compensation: $11 per hour
Location: Remote (Global)
Commitment: Part-time availability required (30–40 hrs/week)

Role Responsibilities
Evaluate a personalization feature for Gemini
Design and execute multi-turn conversational prompts that require the AI to utilize personal information and experiences
Assess how effectively the model uses past conversations and activity to generate relevant and helpful responses
Evaluate model responses based on intent and appropriate personalization
Analyze responses for grounding issues, including flawed inferences or hallucinations
Assess integration quality to ensure personal data is incorporated naturally into responses
Perform side-by-side evaluations and stack-rank model responses based on helpfulness and naturalness
Write clear rationales referencing specific conversation turns
Extract and verify debug information to confirm correct use of summaries and data sources
Maintain data hygiene by deleting evaluation conversations after completion

Requirements
Experience in data annotation, AI quality evaluation, content moderation, or related roles
Strong Spanish proficiency (reading and writing)
Willingness to use a primary personal Google account and enable personal data sources for assessment
Strong analytical thinking and attention to detail
Experience with creative prompt engineering and personalization concepts
Ability to provide structured feedback and clear written explanations
Ability to work independently in a remote environment

Application Process 
Fill out the application form
Complete the ICF
Complete the assessment

Aptitudes y experiencia deseables
Analytical Reasoning, Prompt Engineering, Content Quality Review",
"Data Analyst
Data Analyst with verification",SDG Group España,Barcelona y alrededores (Híbrido),https://www.linkedin.com/jobs/view/3417930563/,3417930563,,"Acerca del empleo
¡Hola Data Lover! 💙

¿Estás en último curso o acabas de finalizar tus estudios en Ingeniería Informática, Telecomunicaciones, Industriales, Ciencia de datos, Matemáticas u otra salida académica similar? 

¡Es hora de despegar hacia el futuro mediante el poder de los datos! Únete a nuestro equipo y prepárate para romper las reglas y alcanzar tu mejor versión.

¿Quieres llevar tus habilidades en Data, Analytics & IA al siguiente nivel? 🚀.
Somos líderes globales, trabajamos con la mitad del IBEX-35 y no paramos de crecer desde 1994.

Si te apasionan los datos, ¡únete al equipo!

¿Cuál será tu misión? ✍ 

Te involucrarás desde el principio en proyectos reales de Data, realizando tanto el análisis técnico, la transformación de datos y el desarrollo de cuadros de mando para los departamentos de negocio de nuestros clientes.
¿Cómo podrás hacerlo?

Aprendiendo todo lo posible a nivel técnico y, poco a poco, te acompañaremos mientras ganas confianza en ti mismo, e irás contando con la capacidad de gestionar tu propio tiempo y cada vez trabajar con mayor autonomía.

Te encargarás también de la redacción de la documentación del proyecto en el que participes.

Participarás en el análisis funcional de los proyectos, lo que te permitirá entender el negocio y tener una visión global y mayor conocimiento de nuestros clientes.

Irás ganando mayor conocimiento y responsabilidad, lo que te permitirá participar en más fases de los distintos proyectos. Participarás en el diseño y desarrollo de cuadros de mando desde cero, al igual que en el diseño y desarrollo de procesos de modelado de datos y transformación de datos con tecnologías y herramientas específicas de ETL on-premise y cloud.

Te encargarás de la formación a usuarios de negocio con el fin de que el cliente sepa interpretar los datos de la mejor manera posible. Por ello, tendrás un mayor posicionamiento de cara al cliente con constante interlocución y dando soluciones a sus necesidades.

Te mantendrás actualizado en las últimas tendencias tecnológicas en el ámbito de Data & Analytics, para poder ofrecer las mejores soluciones a nuestros clientes.
 
¿Qué te hará triunfar en esta posición? 👇 

Que estés en finalizando el último curso o hayas finalizado tus estudios en Ingeniería Informática, Telecomunicaciones, Ciencia de datos, Industriales u otra salida académica que te haya dotado de capacidad de desarrollo y pensamiento crítico en este ambiente.

Valoraremos muy positivamente formación adicional en Data, Business Intelligence, Big Data, Artificial Intelligence.

Será un plus si cuentas con nociones de lenguajes de programación, bases de datos y/o herramientas de visualización (SAP, Tableau, Qlik, Power BI, etc).

Buscamos data lovers con espíritu innovador y muchas ganas de crecer con nosotrxs, ya que podrás participar en proyectos que se mueven en entornos cambiantes, en los que podrás tener un aprendizaje continuo.

Capacidad de comunicación con el equipo: es muy importante para nosotrxs que puedas coordinarte con ellxs, apoyarles y levantar la mano para pedir ayuda.

Cómo trabajamos en un entorno global, ¡será necesario que puedas comunicarte de manera fluida en inglés!

🚀 ¿Qué nos hace únicxs?

No somos una empresa más... ¡somos un equipo que va a por todas!

   🔹 La tecnología y los datos son nuestra esencia. No solo trabajamos con lo último del mercado, sino que te formaremos para que domines las herramientas más innovadoras. Contamos con un área de innovación donde exploramos nuevas alianzas con gigantes tecnológicos y centros de I+D.

🔹 Tú marcas el ritmo. Olvídate de estructuras rígidas. Cada semestre, te sentarás con tu responsable para hablar de tus logros y objetivos y… ¡ajustes salariales en base a resultados!

🔹 Desde el minuto 1, serás parte de nuestra familia. Aquí nadie camina solx. Siempre habrá un compañerx dispuesto a ayudarte.

🔹 Aprenderás de grandes referentes. Te codearás con cracks del sector (tanto técnicos como de negocio), que estarán encantados de compartir su conocimiento y celebrar tu crecimiento. 

🔹 Somos una empresa con propósito. Creemos en la diversidad y la inclusión como motores de la creatividad, lo que nos permite superar cualquier desafío. 

📌 Y, por si fuera poco…

✅ Contrato indefinido (¡queremos que te quedes mucho tiempo!)
✅ Jornada intensiva en julio y agosto 
✅ Salario competitivo según tu formación y experiencia
✅ Smart Work: : El trabajo se desempeña en modalidad híbrida

Si buscas un lugar donde crecer, innovar y sentirte parte de algo grande… ¡este es tu sitio!",
"Business Intelligence Data Analyst (Power BI)
Business Intelligence Data Analyst (Power BI) with verification",Between Technology,"Sant Cugat del Vallès, Cataluña, España (Híbrido)",https://www.linkedin.com/jobs/view/4361512666/,4361512666,,"Acerca del empleo
En BETWEEN apostamos por ofrecerte las mejores oportunidades dentro del área tecnológica. Contamos con un equipo de más de 1000 profesionales.

Si quieres desarrollar tus capacidades en un entorno internacional, apostando por trabajar en soluciones de I+D tanto en Ingeniería como en IT, ¡este es tu próximo destino!

Damos soporte en una gran variedad de áreas como Operaciones, Desarrollo de producto, Compras, Firmware, Software, Business Intelligence, Gestión, Transformación digital, ¡y muchas más! Además, desarrollamos soluciones tecnológicas a medida desde nuestros Hubs Tecnológicos.

La persona seleccionada formará parte de un equipo multidisciplinar, donde se valora especialmente la calidad, la innovación y la excelencia técnica, en un entorno de I+D orientado a la mejora continua y al desarrollo de soluciones de alto impacto para el negocio.

¿Qué haré? Estas serán tus funciones principales:

Diseñar, desarrollar y mantener dashboards avanzados en Power BI, asegurando altos estándares de calidad, rendimiento y usabilidad.
Analizar y resolver incidencias en los dashboards existentes, garantizando su estabilidad y fiabilidad.
Realizar el modelado de datos, optimizando estructuras y flujos de información.
Desarrollar y optimizar consultas SQL para la extracción, transformación y análisis de datos.
Colaborar en un entorno internacional, utilizando inglés oral de forma habitual en el día a día.

¿Cómo lo haré?

Tendrás contrato indefinido y horario flexible
Podrás trabajar en modelo híbrido. Trabajarás 3 días a la semana en la oficina de Sant Cugat del Vallès. El resto de días puedes teletrabajar.
Tendrás un PC y los periféricos necesarios para el desarrollo de tu trabajo.
Trabajarás en un entorno internacional.

Si Eres BETWEENER Obtendrás Estos Beneficios

Seguro médico con Alan Seguros.
Dispondrás de oportunidades de formación y desarrollo profesional: Idiomas, cursos en Udemy, Certificaciones, Programa The Power Business School y Bootcamps especializados (Agile, DevOps, IA & Big Data, Ciberseguridad, etc.).
Contarás con un equipo de Talento que te acompañará durante toda tu experiencia con nosotros. ¡Haremos un café una vez al mes! Así, mantendremos el contacto.
Pondremos a tu disposición un amplio abanico de retos y proyectos acordes con tus objetivos personales y profesionales.
Posibilidad de elegir cómo obtener parte de tu salario gracias a las ventajas fiscales de nuestra Retribución Flexible (Ticket restaurant, Ticket transporte, Ticket guardería).
Descuentos para acceder a centros de Fitness con Wellhub.
Acceso a nuestro Club de Descuentos: Inspiring Benefits.
En BETWEEN nos gusta mucho hacer networking, por lo que te invitaremos a participar en todos estos eventos ¡y más!: las BETWEEN Nights, torneos deportivos, etc.
Programa remunerado de recomendación de Talento.

Requisitos

Requisitos imprescindibles

Grado en ADE, Ingeniería o titulaciones afines.
Experiencia mínima de 2 años trabajando con Power BI (modelado de datos, DAX, Power Query, etc.).
Sólidos conocimientos en SQL.
Inglés avanzado (mínimo C1), con capacidad para comunicarse fluidamente en entornos profesionales.

Requisitos valorables

Experiencia en entornos de I+D o equipos multidisciplinares.
Experiencia en procesos de ETL / ELT y orquestación de datos (por ejemplo, Azure Data Factory, Airflow u otros).
Conocimientos en lenguajes backend (Python) o plataformas de datos (Databricks).
Capacidad analítica y enfoque a negocio.",
"Data Science Intern
Data Science Intern with verification",Danone,"Barcelona, Cataluña, España (Presencial)",https://www.linkedin.com/jobs/view/4382122391/,4382122391,,"Acerca del empleo
About The Job

Cada vez que comemos y bebemos, elegimos el mundo en el que queremos vivir. Creemos que la salud de las personas y del planeta están 100% interconectadas Esto es lo que transmite nuestra visión One Planet One Health. Os invitamos a uniros a nuestra revolución alimentaria con el objetivo de crear un mundo más saludable.

¿Te apasiona el área de IT&Data? ¡Únete a nuestro Programa BTheOne y comienza tu andadura!

About you Únete a proyectos reales basados en datos que generan impacto en el negocio dentro de una empresa líder de gran consumo (FMCG), mientras desarrollas rápidamente habilidades prácticas en data science con el apoyo de un mentor dedicado. Tus principales funciones serán

Ayuda en la evaluación y mejora de los modelos de IA/ML en producción analizando su rendimiento, cuantificando la incertidumbre y aumentando su precisión y robustez. 
Soporte en la construcción y prototipo de modelos predictivos, algoritmos de optimización y soluciones de datos para proyectos de Comercial, I+D, Compras o salud/nutrición digital. 
Ayuda en la entrega de insights accionables mediante análisis de datos, despliegue de modelos y presentaciones claras a los stakeholders para apoyar la toma de decisiones transversal. 
Revisa literatura sobre algoritmos avanzados y propone e implementa técnicas modernas adecuadas a los desafíos de Danone. 
Aprende cómo opera una empresa global de FMCG, incluyendo la ejecución de proyectos, la colaboración entre equipos y la integración de data science en la estrategia de negocio. 

About us

No dudes en aplicar si...

Has estudiado un grado en Estadísitica, Matemáticas, Física o similar. 
Valorable Máster en Data Science. 
Conocimiento de las herramientas SQL y Phyton. 
Tienes nivel B2 de inglés
Tienes visión analítica. 
Eres una persona organizada, proactiva y con ganas de aprender en un entorno dinámico. 
Y sobre todo... tienes muchas ganas de aprender en una multinacional como Danone 🙂",
"Ecommerce Data Analyst
Ecommerce Data Analyst with verification",Capitole,Barcelona y alrededores (Híbrido),https://www.linkedin.com/jobs/view/4375944880/,4375944880,,"Acerca del empleo
🔵 En CAPITOLE, ¡seguimos creciendo y queremos hacerlo contigo! 
 Buscamos un/a Ecommerce Data Analyst con al menos 2 años de experiencia para unirse a un proyecto internacional de gran impacto. Persona apasionada por los datos, la experimentación y la mejora continua de la experiencia digital en web, app y otros canales de interacción.

💻 ¿Qué perfil buscamos?
✔ 2+ años de experiencia en digital analytics, ecommerce o business intelligence.
 ✔ Experiencia trabajando con grandes datasets y herramientas como SQL, Tableau, Looker o Power BI
 ✔ Conocimiento en análisis de comportamiento digital (GA4, herramientas de tracking, etc.)
 ✔ Experiencia o interés en experimentación y A/B testing.
 ✔ Capacidad para traducir datos en insights accionables.
 ✔ Se requiere un alto nivel de inglés, ya que trabajarás con equipos internacionales🌍. 

🚀 ¿Qué harás en el día a día?
• Analizar comportamiento de usuarios en web, app y canales digitales
 • Construir y mantener dashboards para seguimiento de KPIs
 • Evaluar experimentos y pruebas A/B
 • Detectar oportunidades de mejora en conversión y experiencia
 • Trabajar junto a producto, marketing y tecnología

🥳 ¿Por qué CAPITOLE? 
• Presupuesto individual de formación de 1200 € (idiomas, libros, certificaciones). 📚 
• Horario flexible. 🔄 
• Paquete de retribución flexible. 🥗 
• Grandes descuentos en centros deportivos (Wellness). 🏀 
• Seguro médico privado gratuito. 👨⚕️ 
• Revisiones mensuales con tu equipo para recibir feedback continuo. 📈 
• Team buildings. 🍻 ¡No te puedes perder la Pool Party💧 ni nuestra cena de Navidad🎄! 
• Descuentos en marcas internacionales para empleados (Club Capitole). 🛍️ 
 
¿Aún no nos conoces? ¡Descúbrenos! 👀 
 
¡No dudes en enviarnos tu perfil; estamos ansiosos por conocerte! 
 
#CAPITOLECONSULTING 
 
El empleado/a se adherirá a las políticas de seguridad de la información: 
- Tendrá acceso a la información confidencial relativa a Capitole y al proyecto en el que trabaja. 
- Tendrá que cumplir las políticas de seguridad y las políticas internas de la empresa y cliente. 
- Tendrá que firmar un NDA.",
"Data Analyst Senior eCommerce & App
Data Analyst Senior eCommerce & App",Elabs Consulting,"Barcelona, Cataluña, España (Híbrido)",https://www.linkedin.com/jobs/view/4376560288/,4376560288,,"Acerca del empleo
🚀Sobre el puesto
En Elabs Consulting, agencia de marketing digital especializada en posicionamiento orgánico buscamos un/a Data Analyst Senior para liderar la analítica de un eCommerce propio con app móvil (iOS) y presencia activa en marketplaces.

El rol tendrá impacto directo en ventas, conversión, retención y LTV, trabajando de forma transversal con los equipos de Marketing, Producto, CRM y Tech.

🎯 Responsabilidades clave 
• Análisis del rendimiento del eCommerce propio y de la app móvil.
• Seguimiento y optimización del funnel de conversión web y app.
• Análisis de ventas y rentabilidad en marketplaces.
• Medición de campañas de paid media, SEO, CRM y afiliación.
• Análisis de retención, cohortes, LTV y comportamiento de usuario.
• Definición y mantenimiento de dashboards ejecutivos.
• Soporte data-driven a Producto, Marketing y Growth.

🧩 Requisitos técnicos

Imprescindibles
• +5 años de experiencia como Data Analyst, con foco en eCommerce y negocio digital.
• Experiencia sólida analizando funnels de conversión web y app.
• Alto nivel en GA4 y Google Tag Manager.
• Experiencia en analítica mobile (iOS) y Firebase Analytics.
• Experiencia con herramientas de visualización (Looker, Power BI, Tableau o similar).
• Capacidad para traducir datos en insights accionables para negocio.

Muy valorable
• Experiencia con CMS headless como Sanity.
• Experiencia analizando datos de CRM y marketing automation (Braze o similares).
• Conocimiento de marketplaces (Amazon u otros) y herramientas de análisis asociadas (Helium).
• Experiencia con programas de afiliación y loyalty (Awin Loyalty, sistemas de puntos).
• Conocimientos de Python o R para análisis avanzado.
• Experiencia en CRO, testing y experimentación.

🌍 Lo que te ofrecemos
Modelo híbrido: lunes y martes en oficina, miércoles a viernes teletrabajo.
Horario flexible y viernes intensivo.
Agosto 100% remoto.
Oficinas nuevas en Barcelona, ambiente joven, colaborativo y profesional.
23 días de vacaciones + 1 día adicional por año con nosotros (hasta 10 extra).
Día libre por tu cumpleaños 🎂
Actividades de equipo (teambuilding, comidas mensuales, etc.).

📝 ¿Te motiva este reto?
👉 Si crees que encajas con este perfil y quieres seguir creciendo con nosotros, inscríbete directamente a través de LinkedIn o envíanos tu CV a alice.silva@elabsconsulting.com con el asunto: Candidatura Data Analyst Senior.",
"Programa de Prácticas - Data Science
Programa de Prácticas - Data Science with verification",Boehringer Ingelheim,"Sant Cugat del Vallès, Cataluña, España (Híbrido)",https://www.linkedin.com/jobs/view/4382111581/,4382111581,,"Acerca del empleo
¿Te gustaría comenzar tu carrera profesional en la Industria Farmacéutica y formar parte de nuestra comunidad de talento?

Si estás cursando el último año de tu Grado Universitario o realizando un Máster/Postgrado en áreas como Ciencias de la Salud, Ingeniería, Administración de Empresas, Comunicación, Tecnologías de la Información o similar, y te interesa iniciar tus prácticas en abril de 2026, ¡esta es tu oportunidad!

En Boehringer Ingelheim lanzamos la nueva edición de nuestro Programa de Prácticas 2026, dirigido a personas con entusiasmo, ganas de aprender y de contribuir a nuestro propósito: mejorar la vida de las generaciones presentes y futuras.

Estas prácticas están diseñadas para estudiantes o recién graduados/as interesados/as en aprender en el campo de la ciencia de datos dentro del sector de negocios de la industria farmacéutica. A lo largo del programa, el/la becario/a desarrollará habilidades técnicas, analíticas y de comunicación, mientras se familiariza con herramientas y metodologías utilizadas en entornos profesionales de análisis de datos.

¿Cómo será tu día a día?

Apoyarás en la recopilación, limpieza y análisis de datos provenientes de diversas fuentes
Participarás en el desarrollo de modelos predictivos y de clasificación utilizando técnicas de machine learning 
Visualizarás datos para facilitar la interpretación de resultados y la toma de decisiones
Aprenderás a automatizar procesos de análisis mediante scripts en Python o R
Participarás en reuniones de equipo para la definición de problemas y la presentación de resultados
Ayudarás a documentar los procesos y resultados obtenidos durante los proyectos
Colaborarás con otros departamentos para entender sus necesidades de datos y proponer soluciones


¿Qué tipo de perfil buscamos?

Educación: Grado en Estadística, Matemáticas, Ingeniería, Informática, Física o similar. Valorable f ormación complementaria en Ciencia de Datos, Inteligencia Artificial o Ingeniería de datos. 
Habilidades técnicas: Conocimientos de programación en Python o R. Manejo de herramientas de análisis de datos como Pandas, NumPy o similares. Conocimientos básicos de machine learning y estadística aplicada. Buen nivel de SQL. Experiencia con herramientas de visualización como Tableau o Power BI. Conocimientos de Git y control de versiones
Competencias: Capacidad analítica y pensamiento crítico. Proactividad y ganas de aprender. Buenas habilidades de comunicación y colaboración en equipo. Capacidad para adaptarse a entornos cambiantes. Organización y gestión del tiempo. Curiosidad por explorar nuevas tecnologías y metodologías
Idiomas: Nivel alto de castellano e inglés
Disponibilidad: Incorporación el 24 de abril de 2026 y posibilidad de realizar convenio de prácticas durante 12 meses aproximadamente


¿Qué ofrecemos? 

Estos son algunos ejemplos de cómo cuidaremos de ti:

Prácticas remuneradas (1.000€/mes – 40h semanales)
Un mentor en tu proceso de aprendizaje
Comunidad de becarios que ofrece actividades para fomentar tu desarrollo
Campus en Sant Cugat del Vallés: espacio al aire libre, smartworking, cantina, servicio de transporte (lanzadera desde estación de FGC)
Flexibilidad horaria
Formación continua: idiomas, plataforma de formación para habilidades soft, LinkedIn Learning y mucho más
Acceso a Wellhub


Si estás interesado/a en ser parte de esta nueva edición de nuestro programa de becas y cumples con estos requisitos, ¡no dudes en presentar tu candidatura!

Nuestra compañía

En Boehringer Ingelheim desarrollamos tratamientos innovadores que mejoran la vida de las personas y de los animales. Fundada en 1885 y de propiedad familiar desde entonces, Boehringer Ingelheim adopta una perspectiva a largo plazo. En la actualidad, contamos con 52.000 empleados en todo el mundo que fomentan una cultura diversa, colaborativa e integradora. Creemos que si contamos con personas talentosas y ambiciosas, apasionadas por la innovación, no hay límite a lo que podemos lograr.

¿Por qué Boehringer Ingelheim?

Con nosotros puedes crecer, colaborar, innovar y mejorar vidas.

Ofrecemos un trabajo estimulante en un entorno laboral global respetuoso y cordial, rodeado de un mundo de mentalidades y prácticas impulsadas por la innovación. Además, el aprendizaje y el desarrollo de todos los empleados es clave, porque tu crecimiento es nuestro crecimiento.

Boehringer Ingelheim es una empresa global que ofrece igualdad de oportunidades y se enorgullece de mantener una cultura diversa e inclusiva. Aceptamos la diversidad de perspectivas y nos esforzamos por crear un entorno integrador, que beneficie a nuestros empleados, pacientes y comunidades.

¿Quieres saber más? Visítanos https://www.boehringer-ingelheim.com",
